Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
All Alone,Lil Uzi Vert,6kHYpEnDpMCyGu0E2PlWY1,0.752,0.693,6,-6.087,0,0.162,0.0954,0.0,0.293,0.473,138.104,Hot,3,0
Rubicon,Peso Pluma,6127NAkQKvpHxsQ7QS3bsm,0.0749,0.00598,8,-30.745,0,0.0369,0.978,0.895,0.109,0.0373,69.52,Hot,4,0
Died And Came Back,Lil Uzi Vert,6kQF79mjbOkvuRvg0J2XZv,0.674,0.669,1,-5.079,0,0.0803,0.149,0.0,0.56,0.431,132.098,Hot,3,0
Por Las Noches,Peso Pluma,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,Hot,2,0
Attention,Doja Cat,11xC6P3iKYpFThT6Ce1KdG,0.759,0.567,2,-7.911,1,0.248,0.118,0.0278,0.105,0.421,87.981,Hot,2,0
Werewolf,Lil Uzi Vert Featuring Bring Me The Horizon,3ySqZ8yGoh4Emi9HiPCCdP,0.389,0.962,2,-4.772,0,0.248,5.98e-05,0.623,0.331,0.155,183.049,Hot,7,0
El Azul,Junior H x Peso Pluma,1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876,Hot,3,0
Everything I Love,Morgan Wallen,03fs6oV5JAlbytRYf3371S,0.568,0.841,8,-3.802,1,0.0261,0.00514,0.000503,0.147,0.668,103.983,Hot,2,0
Cowgirls,Morgan Wallen Featuring ERNEST,7fveJ3pk1eSfxBdVkzdXZ0,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08,Hot,7,0
Waffle House,Jonas Brothers,5iE3eUH2WGCXcE2xr6DEmU,0.729,0.763,10,-4.407,1,0.0363,0.033,1e-06,0.192,0.864,126.002,Hot,2,0
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj,6IEXjer2qbXhRLFv99NQQv,0.637,0.634,2,-8.126,1,0.426,0.174,0.0,0.149,0.49,178.037,Hot,7,0
Watermelon Moonshine,Lainey Wilson,7Fa7EcDrcGw2SUh8WjX3zo,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,Hot,2,0
Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,Hot,2,0
Fragil,Yahritza y Su Esencia x Grupo Frontera,4JdSXF2p71cr8uCY3UiJM0,0.605,0.726,6,-4.515,1,0.0309,0.365,0.0,0.112,0.393,149.918,Hot,7,0
See You Again,"Tyler, The Creator Featuring Kali Uchis",7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,Hot,2,0
Truck Bed,HARDY,103u49mLoJUge83B1CnLxI,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,Hot,2,0
Zoom,Lil Uzi Vert,3VFGA65JnN8EDmnRb5SHW2,0.818,0.547,5,-5.868,0,0.39,0.0784,1.3e-06,0.119,0.432,79.483,Hot,3,0
That Fiya,Lil Uzi Vert,1bIHv5s0rByq6ZOqDSt8K8,0.565,0.712,3,-4.012,0,0.0301,0.00234,0.0,0.186,0.22,138.124,Hot,7,0
We Didn't Start The Fire,Fall Out Boy,3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,Hot,2,0
Fight The Feeling,Rod Wave,6F4tgHJ5dE0pVWRPs3m1hs,0.701,0.711,8,-6.666,1,0.127,0.27,0.0,0.0911,0.419,160.0,Hot,2,0
Ain't That Some,Morgan Wallen,5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,Hot,0,0
Lagunas,Peso Pluma & Jasiel Nunez,3HOKxuTDmNVmIlCIpBiD8m,0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952,Hot,2,0
Dial Drunk,Noah Kahan,0caJ2wkqp4UmXBwdR2JvB5,0.693,0.595,8,-7.578,1,0.0311,0.0969,0.0,0.113,0.646,112.02,Hot,2,0
Save Me,Jelly Roll With Lainey Wilson,4Bee3PcNdfeqO1B80dDgFn,0.564,0.612,0,-5.018,1,0.0248,0.382,0.0,0.11,0.146,83.03,Hot,6,0
Jaded,Miley Cyrus,3pKghzdaXhmu6H21RDKLlE,0.766,0.44,1,-16.645,1,0.242,0.724,0.698,0.0947,0.206,82.998,Hot,6,0
The World Has Turned And Left Me Here,Weezer,06isZAG9Bgm4jhPj7V0Rhx,0.455,0.918,6,-5.724,1,0.0352,0.000399,0.0134,0.323,0.56,99.078,Not Hot,2,0
Mamma Maria,Ricchi E Poveri,6sEOCx9dvZ2Vy3sI8HpZ3m,0.725,0.834,4,-6.142,0,0.0302,0.379,1.82e-06,0.288,0.931,133.289,Not Hot,3,0
Bara dårar rusar in (Live),Håkan Hellström,07mEPA8M9EIsehueGzoHRG,0.214,0.464,4,-10.513,1,0.0375,0.525,0.000103,0.371,0.291,92.084,Not Hot,6,0
La valse d'Amélie,Yann Tiersen,7MIN37CiVP1lVjqKNmLMWk,0.433,0.564,9,-8.917,0,0.0405,0.713,0.275,0.117,0.855,192.07,Not Hot,3,0
